2026-01-07 11:17:13 | INFO     | q_learning | ================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | Training Configuration
2026-01-07 11:17:13 | INFO     | q_learning | ================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | Runs: 50
2026-01-07 11:17:13 | INFO     | q_learning | Episodes per run: 300
2026-01-07 11:17:13 | INFO     | q_learning | Learning rate: 0.001
2026-01-07 11:17:13 | INFO     | q_learning | Gamma (discount): 0.99
2026-01-07 11:17:13 | INFO     | q_learning | Epsilon (exploration): 0.1
2026-01-07 11:17:13 | INFO     | q_learning | Render mode: DISABLED
2026-01-07 11:17:13 | INFO     | q_learning | Verbose logging: DISABLED
2026-01-07 11:17:13 | INFO     | q_learning | WandB Project: dqn_cartpole
2026-01-07 11:17:13 | INFO     | q_learning | WandB Group: CartPole-v1_DQN_20260107_111713
2026-01-07 11:17:13 | INFO     | q_learning | Log file: ./output/training_20260107_111713.log
2026-01-07 11:17:13 | INFO     | q_learning | ================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | 
================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | Starting Run 1/50
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   92 | Reward:   9.00 | Steps:    9 | Avg(10):  18.10 | Loss: 29.945816
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   93 | Reward:  10.00 | Steps:   10 | Avg(10):  16.90 | Loss: 26.648108
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   94 | Reward:  11.00 | Steps:   11 | Avg(10):  16.10 | Loss: 21.624358
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   95 | Reward:   9.00 | Steps:    9 | Avg(10):  14.60 | Loss: 23.533002
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   96 | Reward:  10.00 | Steps:   10 | Avg(10):  13.80 | Loss: 20.052383
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   97 | Reward:  10.00 | Steps:   10 | Avg(10):  10.10 | Loss: 18.589157
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   98 | Reward:  11.00 | Steps:   11 | Avg(10):  10.20 | Loss: 14.724865
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   99 | Reward:   9.00 | Steps:    9 | Avg(10):  10.10 | Loss: 16.698020
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode  100 | Reward:   9.00 | Steps:    9 | Avg(10):  10.00 | Loss: 15.791238
2026-01-07 11:17:16 | INFO     | q_learning | Run 1 | Episode  101 | Reward:  13.00 | Steps:   13 | Avg(10):  10.10 | Loss: 11.071436
